F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
M5,T1,90.65,90.683,99.479,0.9023,0.9315,105186,2664,293.37,33.8,7171398,7.17,6.92,85.559,MOB,10.37,20.4,4.797491083
M5,T2,10.17,2.106,51.968,0.0081,0.04,29158,759,102.92,43.71,6974038,6.97,7.12,85.956,MOB,10.29,20.7,4.857859181
M5,T3,88.23,88.258,99.222,0.8754,0.9115,8496,238,50.82,78.04,6602142,6.6,7.52,86.705,MOB,10.25,20.54,4.822847528
M5,T4,90.67,90.693,99.468,0.9026,0.9316,6717,194,46.45,90.8,11910126,11.91,4.17,76.016,MOB,10.25,20.74,4.879321061
M5,T5,90.69,90.714,99.466,0.9028,0.9318,6744,195,46.47,90.73,23500154,23.5,2.11,52.676,MOB,91.48,20.66,4.861998916
M5,T6,95.11,95.115,99.907,0.9519,0.9678,7583,135,40.52,125.06,19577795,19.58,2.54,60.575,CPU,10.43,21.78,5.514464393
M5,T7,95.17,95.178,99.906,0.9526,0.9683,105524,2649,291.9,33.82,5471441,5.47,9.08,88.982,MOB,10.39,19.1,4.892890268
M5,T8,47.96,48.204,89.391,0.428,0.5496,29751,768,103.75,43.56,5241619,5.24,9.47,89.445,MOB,10.29,19.6,5.011194202
M5,T9,95.08,95.087,99.905,0.9516,0.9676,8531,238,50.77,78.15,5230887,5.23,9.49,89.466,MOB,10.25,19.36,4.957631175
M5,T10,95.11,95.115,99.907,0.9519,0.9678,6800,196,46.56,90.37,9784355,9.78,5.08,80.297,MOB,91.06,19.41,4.962760394
M5,T11,10.33,3.957,49.503,0.0099,0.0559,7291,130,39.97,130.26,17174853,17.17,2.89,65.414,CPU,10.54,21.81,5.521117563
M5,T12,9.33,4.615,49.022,-0.0012,0.007,28987,748,101.82,43.92,5063039,5.06,9.81,89.804,MOB,10.28,19.68,5.027926016
M5,T13,10.14,3.8,49.325,0.0078,0.0416,8545,239,50.93,77.77,5084207,5.08,9.77,89.762,MOB,10.23,19.55,4.994171332
M5,T14,10.34,3.967,49.492,0.01,0.0564,6772,196,46.62,90.18,8891759,8.89,5.58,82.094,MOB,90.83,19.53,4.99206179
M5,T15,9.45,4.102,50.072,0.0001,0.007,7240,129,39.89,131.07,17214645,17.21,2.88,65.334,CPU,10.38,21.57,5.466268532
M5,T16,9.27,4.307,49.426,-0.0019,0.007,29012,749,101.91,43.91,5091923,5.09,9.75,89.746,MOB,10.28,19.61,5.013172728
M5,T17,9.22,3.883,50.063,-0.0024,0.007,8542,239,50.89,77.87,5112975,5.11,9.71,89.704,MOB,10.24,19.36,4.950212402
M5,T18,9.49,4.145,50.071,0.0006,0.007,6770,196,46.62,90.17,8895952,8.9,5.58,82.086,MOB,90.88,19.58,5.002538649
M5,T19,10.38,4.18,50.201,0.0104,0.059,7228,129,39.89,131.07,17135248,17.14,2.9,65.494,CPU,10.39,21.82,5.526128216
M5,T20,8.95,4.095,48.987,-0.0054,0.007,28899,746,101.6,43.97,5049141,5.05,9.84,89.832,MOB,10.76,19.61,5.019723665
M5,T21,10.15,3.739,50.257,0.0079,0.0428,8525,239,50.88,77.88,5071492,5.07,9.79,89.787,MOB,10.24,19.38,4.959111467
M5,T22,10.38,4.18,50.198,0.0104,0.059,6721,195,46.51,90.56,8850774,8.85,5.61,82.177,MOB,65.22,19.74,5.039120391
M5,T23,9.76,3.332,50.394,0.0036,0.007,8627,174,44.38,99.53,17178253,17.18,2.89,65.407,CPU,10.53,21.39,5.425714688
M5,T24,8.66,3.867,48.667,-0.0087,0.007,28965,748,101.81,43.92,4995393,5,9.94,89.941,MOB,10.27,19.4,4.96560411
M5,T25,9.58,3.031,50.464,0.0016,0.007,8555,240,50.98,77.67,5018150,5.02,9.9,89.895,MOB,10.24,19.54,4.996825303
M5,T26,9.75,3.37,50.385,0.0034,0.007,6753,196,46.59,90.26,8893678,8.89,5.58,82.09,MOB,2,19.6,5.001095674
